run_id,random_seed,vehicle_id,collided,severity,collision_time,min_speed_mph,final_speed_mph
48,48,spawned_3,False,,,20.0,20.0
48,48,spawned_4,False,,,19.94,20.0
48,48,spawned_5,False,,,20.0,20.0
48,48,spawned_6,False,,,20.0,20.0
48,48,spawned_7,False,,,20.0,20.0
49,49,solo,False,,,3.48,17.3
49,49,spawned_1,False,,,6.91,10.05
49,49,spawned_2,False,,,11.28,13.51
49,49,spawned_3,False,,,20.0,20.0
49,49,spawned_4,False,,,19.94,20.0
49,49,spawned_5,False,,,20.0,20.0
49,49,spawned_6,False,,,20.0,20.0
49,49,spawned_7,False,,,20.0,20.0
50,50,solo,False,,,7.04,30.0
50,50,spawned_1,False,,,20.0,20.0
50,50,spawned_2,False,,,20.0,20.0
50,50,spawned_3,False,,,20.0,20.0
50,50,spawned_4,False,,,20.0,20.0
50,50,spawned_5,False,,,20.0,20.0
50,50,spawned_6,False,,,20.0,20.0
50,50,spawned_7,False,,,20.0,20.0
51,51,solo,False,,,0.0,22.82
51,51,spawned_1,False,,,6.91,10.05
51,51,spawned_2,False,,,20.0,20.0
51,51,spawned_3,False,,,20.0,20.0
51,51,spawned_4,False,,,20.0,20.0
51,51,spawned_5,False,,,20.0,20.0
51,51,spawned_6,False,,,20.0,20.0
51,51,spawned_7,False,,,20.0,20.0
52,52,solo,False,,,3.48,17.3
52,52,spawned_1,False,,,20.0,20.0
52,52,spawned_2,False,,,11.28,13.51
52,52,spawned_3,False,,,20.0,20.0
52,52,spawned_4,False,,,20.0,20.0
52,52,spawned_5,False,,,20.0,20.0
52,52,spawned_6,False,,,20.0,20.0
52,52,spawned_7,False,,,20.0,20.0
53,53,solo,False,,,0.0,30.0
53,53,spawned_1,False,,,6.91,10.05
53,53,spawned_2,False,,,20.0,20.0
53,53,spawned_3,False,,,20.0,20.0
53,53,spawned_4,False,,,20.0,20.0
53,53,spawned_5,False,,,20.0,20.0
53,53,spawned_6,False,,,20.0,20.0
53,53,spawned_7,False,,,20.0,20.0
54,54,solo,False,,,3.48,17.3
54,54,spawned_1,False,,,20.0,20.0
54,54,spawned_2,False,,,11.28,13.51
54,54,spawned_3,False,,,20.0,20.0
54,54,spawned_4,False,,,19.94,20.0
54,54,spawned_5,False,,,20.0,20.0
54,54,spawned_6,False,,,20.0,20.0
54,54,spawned_7,False,,,20.0,20.0
55,55,solo,False,,,0.0,22.82
55,55,spawned_1,False,,,6.91,10.05
55,55,spawned_2,False,,,20.0,20.0
55,55,spawned_3,False,,,20.0,20.0
55,55,spawned_4,False,,,20.0,20.0
55,55,spawned_5,False,,,20.0,20.0
55,55,spawned_6,False,,,20.0,20.0
55,55,spawned_7,False,,,20.0,20.0
56,56,solo,False,,,0.0,30.0
56,56,spawned_1,False,,,6.91,10.05
56,56,spawned_2,False,,,20.0,20.0
56,56,spawned_3,False,,,20.0,20.0
56,56,spawned_4,False,,,20.0,20.0
56,56,spawned_5,False,,,20.0,20.0
56,56,spawned_6,False,,,20.0,20.0
56,56,spawned_7,False,,,20.0,20.0
57,57,solo,False,,,3.48,17.3
57,57,spawned_1,False,,,6.91,10.05
57,57,spawned_2,False,,,11.28,13.51
57,57,spawned_3,False,,,20.0,20.0
57,57,spawned_4,False,,,19.94,20.0
57,57,spawned_5,False,,,20.0,20.0
57,57,spawned_6,False,,,20.0,20.0
57,57,spawned_7,False,,,20.0,20.0
58,58,solo,False,,,3.48,17.3
58,58,spawned_1,False,,,20.0,20.0
58,58,spawned_2,False,,,11.28,13.51
58,58,spawned_3,False,,,20.0,20.0
58,58,spawned_4,False,,,20.0,20.0
58,58,spawned_5,False,,,20.0,20.0
58,58,spawned_6,False,,,20.0,20.0
58,58,spawned_7,False,,,20.0,20.0
59,59,solo,False,,,7.04,30.0
59,59,spawned_1,False,,,20.0,20.0
59,59,spawned_2,False,,,20.0,20.0
59,59,spawned_3,False,,,20.0,20.0
59,59,spawned_4,False,,,20.0,20.0
59,59,spawned_5,False,,,20.0,20.0
59,59,spawned_6,False,,,20.0,20.0
59,59,spawned_7,False,,,20.0,20.0
60,60,solo,False,,,3.48,17.3
60,60,spawned_1,False,,,6.91,10.05
